Район;Диоксид азота;Диоксид серы;Оксид азота;Оксид углерода;Сероводород;Плотность населения;Загрязнение почвы;Объекты негативного воздействия;Водоемы;Автомагистрали;Озеленение;Шум;Соседство с лесными массивами;Аэропорт;Промзоны
Академический;0.27;0.02;0.30;0.10;0.11;19558.32;6.00;1;0;1;7.02;1;0;0;1
Алескеевский;0.43;0.04;0.57;0.10;0.12;14767.30;5.70;0.5;0;0;3.59;1;0;0;0
Алтуфьевский;0.29;0.04;0.55;0.10;0.08;17129.54;0.00;1;1;1;2.54;1;0;1;1
Арбат;0.51;0.02;0.80;0.15;0.07;16907.58;8.30;0;1;0;2.34;1;0;0;0
Аэропорт;0.56;0.08;1.10;0.18;0.18;17414.19;2.60;0;0;1;9.48;1;0;0;0
Бабушкинский;0.35;0.02;0.68;0.15;0.06;13234.52;0.00;0;0;0;7.25;1;0;0;0
Басманный;0.47;0.24;0.28;0.08;0.09;12847.43;10.10;0.5;1;1;2.9;1;0;0;0
Беговой;0.56;0.08;1.10;0.18;0.18;7622.48;2.00;0;0;1;0.82;1;0;0;1
Бескудниковский;0.56;0.03;0.85;0.10;0.11;23817.58;3.20;0.5;1;1;12.09;1;0;1;0
Бибирево;0.30;0.02;0.43;0.16;0.10;24893.80;0.00;0.5;1;1;12.97;1;1;1;0
Бирюлёво Восточное;0.37;0.02;0.65;0.14;0.10;10591.60;6.00;0.5;1;1;40.53;0;0;0;1
Бирюлёво Западное;0.35;0.03;0.62;0.14;0.10;10092.01;4.60;1;0;1;3.96;1;0;0;1
Богородское;0.30;0.02;0.32;0.10;0.09;10620.80;6.20;0.5;1;1;35.91;1;1;0;0
Братеево;0.23;0.03;0.48;0.80;0.14;13472.35;0.00;0.5;1;1;14.98;1;0;0;0
Бутырский;0.50;0.04;0.60;0.15;0.22;14369.25;3.90;0.5;0;1;3.78;1;0;0;0
Вешняки;0.38;0.06;0.52;0.08;0.14;11146.64;22.10;0.5;1;1;54.59;1;0;0;0
Внуково;0.43;0.06;0.90;0.93;0.27;1580.25;0.00;1;1;1;5.38;1;0;1;0
Войковский;0.35;0.08;0.33;0.07;0.23;10777.76;2.30;0;1;1;5.07;1;0;0;1
Восточное Дегунино;0.60;0.02;0.72;0.09;0.18;26863.40;5.00;0.5;0;1;5.15;0;0;1;0
Восточное Измайлово;0.40;0.05;0.47;0.08;0.17;19370.65;3.10;0;0;1;0.83;1;0;0;0
Восточный;0.52;0.04;0.50;0.09;0.18;4083.44;2.40;0;1;1;5.84;1;1;0;0
Выхино-Жулебино;0.54;0.06;1.23;0.15;0.17;16106.15;0.00;0;1;1;11.25;1;0;0;1
Гагаринский;0.27;0.02;0.30;0.10;0.11;14731.09;4.20;0.5;1;1;17.73;1;0;0;0
Головинский;0.32;0.02;0.32;0.10;0.08;11581.08;7.30;0;1;1;6.43;1;0;0;1
Гольяново;0.24;0.02;0.22;0.01;0.07;11027.28;2.20;0.5;1;1;4;1;1;0;1
городской округ Троицк;0.20;0.08;0.45;0.07;0.11;3983.04;3.20;0.5;1;1;3.43;1;0;0;0
городской округ Щербинка;0.19;0.66;0.33;0.11;1.09;7418.77;4.80;0.5;0;1;1.46;1;0;0;0
Даниловский;0.43;0.02;0.75;0.17;0.12;8321.43;0.00;1;1;1;2.29;1;0;0;1
Дмитровский;0.56;0.03;0.85;0.10;0.11;14054.73;0.00;1;1;1;20.52;1;0;1;1
Донской;0.53;0.02;0.33;0.08;0.10;9225.31;12.80;0.5;1;1;4.57;1;0;0;0
Дорогомилово;0.18;0.03;0.27;0.12;0.10;9812.33;3.50;1;1;1;18.84;1;0;0;1
Замоскворечье;0.39;0.03;0.27;0.09;0.09;12762.04;7.40;1;1;0;1.16;1;0;0;1
Западное Дегунино;0.33;0.03;0.47;0.09;0.06;11221.25;0.00;0.5;1;1;4.64;1;0;1;1
Зюзино;0.37;0.03;0.60;0.14;0.06;22769.36;8.10;0;1;1;5.62;1;0;0;0
Зябликово;0.34;0.05;0.55;0.14;0.19;30526.71;1.90;0;1;0;3.77;0;0;0;0
Ивановское;0.50;0.13;0.48;0.08;0.17;12384.49;2.10;0;1;1;31.71;1;0;0;0
Измайлово;0.36;0.04;0.43;0.07;0.13;7031.36;9.40;0.5;1;1;15.98;1;1;0;0
Капотня;0.39;0.05;0.42;1.10;0.17;4070.47;0.00;1;1;1;5.94;1;0;1;1
Коньково;0.33;0.03;0.37;0.09;0.07;21135.65;2.60;0;1;0;6.29;1;0;0;1
Коптево;0.32;0.02;0.32;0.10;0.08;19100.00;2.20;0;0;1;0.94;1;0;0;1
Косино-Ухтомский;0.42;0.04;0.45;0.10;0.11;5901.46;4.70;0;1;1;5.52;1;0;0;1
Котловка;0.24;0.02;0.37;0.11;0.19;16365.74;1.70;0.5;1;1;11.85;1;0;0;0
Красносельский;0.45;0.24;0.65;0.11;0.09;9217.54;6.00;0;0;1;1.03;1;0;0;1
Крылатское;0.33;0.09;0.43;0.14;0.13;6890.28;0.00;0.5;1;1;21.66;0;1;0;1
Крюково;0.26;0.09;0.67;0.17;0.08;9931.84;0.00;0.5;1;0;5.17;1;0;1;0
Кузьминки;0.43;0.05;0.70;0.10;0.16;17296.44;12.10;0;1;1;1.45;1;0;0;0
Кунцево;0.25;0.51;0.48;0.10;0.05;9228.80;5.50;0.5;0;1;9.19;1;1;0;1
Куркино;0.43;0.05;0.58;0.20;0.08;4047.47;1.70;1;1;1;43.08;1;0;1;0
Левобережный;0.52;0.07;0.65;0.24;0.10;6992.63;4.50;0;1;1;19.45;1;0;1;0
Лефортово;0.47;0.24;0.28;0.08;0.09;11351.43;14.10;0.5;1;1;8.36;1;0;0;1
Лианозово;0.36;0.02;0.47;0.23;0.08;14749.91;1.60;0.5;1;1;22.55;1;0;1;1
Ломоносовский;0.21;0.02;0.19;0.14;0.21;26447.60;1.70;0;0;1;5.51;1;0;0;0
Лосиноостровский;0.19;0.02;0.49;0.11;0.06;14933.75;2.50;0;1;1;18.01;1;0;0;0
Люблино;0.54;0.06;1.23;0.15;0.17;10295.63;2.00;1;1;1;4.07;1;0;0;1
Марфино;0.50;0.04;0.60;0.15;0.22;12258.25;2.10;0.5;0;1;1.66;1;1;0;0
Марьина роща;0.67;0.07;0.43;0.19;0.27;13519.66;13.00;0.5;0;0;3.4;1;0;0;0
Марьино;0.38;0.06;0.40;0.09;0.04;22474.22;5.20;0.5;1;0;6.07;0;0;0;0
Матушкино;0.49;0.18;0.43;0.16;0.10;9696.58;0.00;0.5;0;1;7.66;0;1;1;0
Метрогородок;0.24;0.02;0.22;0.01;0.07;1419.15;3.90;1;1;1;31.56;1;0;0;1
Мещанский;0.45;0.24;0.65;0.11;0.09;12351.74;2.30;0.5;0;1;10.27;1;0;0;0
Митино;0.21;0.09;0.45;0.15;0.14;15696.29;0.00;0;1;1;24.51;1;0;0;1
Можайский;0.38;0.68;0.53;0.11;0.09;13578.66;3.10;1;1;1;3.97;1;0;1;1
Молжаниновский;0.54;0.13;1.08;0.90;0.27;567.45;2.10;1;1;1;1.81;1;0;1;0
Москворечье-Сабурово;0.38;0.06;0.40;0.09;0.04;9583.87;2.80;0.5;1;1;9.23;1;0;0;1
Нагатино-Садовники;0.24;0.09;0.28;0.16;0.06;10164.75;3.30;0.5;1;1;10.51;1;0;0;1
Нагатинский Затон;0.48;0.05;0.60;0.09;0.21;12308.57;1.80;1;1;1;9.93;0;0;0;0
Нагорный;0.24;0.09;0.28;0.16;0.06;14409.23;2.60;1;0;1;2.91;1;0;0;1
Некрасовка;0.38;0.24;0.40;0.06;0.38;9142.28;2.00;0;1;0;3.35;1;1;1;0
Нижегородский;0.47;0.18;0.63;0.12;0.21;6550.59;5.20;1;0;1;0.47;1;0;0;1
Новогиреево;0.36;0.11;0.42;0.10;0.18;22558.65;8.50;0.5;1;0;7;1;0;0;0
Новокосино;0.47;0.04;0.53;0.09;0.13;29630.00;3.20;0;0;1;0.67;1;0;0;0
Ново-Переделкино;0.56;0.04;0.70;0.66;0.18;14518.04;1.70;0.5;0;0;6.6;1;0;0;0
Обручевский;0.36;0.06;0.50;0.09;0.16;14764.65;2.10;0;1;1;15.86;1;0;0;0
Орехово-Борисово Северное;0.34;0.05;0.55;0.14;0.19;16665.97;9.10;0;1;1;24.61;1;0;0;0
Орехово-Борисово Южное;0.34;0.05;0.55;0.14;0.19;21136.60;0.00;0;0;1;7.65;1;0;0;0
Останкинский;0.37;0.03;0.43;0.07;0.11;5241.41;2.60;1;1;1;80.28;1;1;0;1
Отрадное;0.58;0.02;0.65;0.26;0.16;18418.27;0.00;1;1;1;5.42;0;0;0;1
Очаково-Матвеевское;0.64;0.68;0.75;0.29;0.16;7440.99;0.00;1;1;1;3.02;1;0;1;1
Перово;0.36;0.04;0.43;0.07;0.13;14117.37;2.70;1;1;1;5.75;1;0;0;1
Печатники;0.43;0.05;0.70;0.10;0.16;5078.37;15.40;1;1;1;3.34;1;0;0;1
Покровское-Стрешнево;0.43;0.10;0.58;0.18;0.09;5120.16;0.00;0.5;1;1;34.81;1;0;0;0
"поселение ""Мосрентген""";0.48;0.22;0.65;0.47;0.34;2327.34;5.00;1;1;0;12.17;1;0;0;0
поселение Внуковское;0.54;0.20;0.80;0.83;0.34;70.23;1.50;0;1;1;21.12;1;0;0;0
поселение Вороновское;0.50;0.05;0.45;0.05;0.10;773.52;0.00;0.5;1;1;22.35;0;0;0;0
поселение Воскресенское;0.31;0.14;0.52;0.22;0.09;732.40;1.90;0.5;1;1;12.8;1;0;0;0
поселение Десёновское;0.40;0.16;0.35;0.19;0.11;199.81;3.90;0;1;1;13.09;0;0;0;0
поселение Киевский;0.32;0.12;0.30;0.13;0.07;90.72;0.00;0;1;1;7.87;1;0;0;0
поселение Клёновское;0.19;0.08;0.30;0.08;0.07;2573.55;2.30;0.5;1;0;25.84;0;0;0;0
поселение Кокошкино;0.56;0.22;0.73;0.40;0.13;144.66;4.20;1;1;1;1.89;1;0;0;0
поселение Краснопахорское;0.47;0.09;0.63;0.24;0.09;300.53;3.80;0.5;1;1;14.05;0;0;0;0
поселение Марушкинское;0.59;0.20;0.75;0.60;0.11;144.49;1.60;0;1;1;10.16;1;0;0;0
поселение Михайлово-Ярцевское;0.17;0.03;0.45;0.14;0.03;2488.92;1.50;1;1;1;16.83;1;0;0;0
поселение Московский;0.65;0.26;0.82;0.52;0.26;3336.97;0.00;0.5;1;1;13.09;1;0;0;0
поселение Новофедоровское;0.43;0.02;0.67;0.09;0.10;113.44;1.20;0;1;1;7.13;0;0;0;0
поселение Первомайское;0.33;0.16;0.42;0.23;0.11;170.98;1.40;0;1;1;3.25;1;0;0;0
поселение Роговское;0.13;0.09;0.23;0.10;0.08;35.28;0.00;0;1;1;9.81;0;0;0;0
поселение Рязановское;0.62;0.21;1.08;0.58;0.16;695.73;4.10;0;1;0;7.57;0;0;0;0
поселение Сосенское;0.21;0.04;0.37;0.06;0.11;1393.68;1.50;1;1;1;17.66;1;0;0;0
поселение Филимонковское;0.59;0.18;0.88;0.64;0.13;414.68;2.30;0.5;1;1;4.14;1;0;0;0
поселение Щаповское;0.37;0.22;0.45;0.21;0.11;140.65;2.40;0.5;1;1;10.74;1;0;0;0
Преображенское;0.30;0.02;0.32;0.10;0.09;15767.02;5.10;0.5;1;1;6.14;1;0;0;1
Пресненский;0.23;0.04;0.23;0.11;0.13;10758.38;8.10;0;1;1;6.38;1;0;0;1
Проспект Вернадского;0.22;0.03;0.40;0.05;0.09;14379.35;0.00;0.5;1;1;6.69;1;0;0;0
Раменки;0.22;0.03;0.40;0.05;0.09;8128.75;0.00;0.5;1;1;15.59;1;0;0;0
Ростокино;0.28;0.09;0.37;0.17;0.10;14681.92;5.70;0.5;1;1;15.32;1;1;0;0
Рязанский;0.38;0.06;0.52;0.08;0.14;16671.65;6.00;0.5;0;1;2.18;1;0;0;1
Савёлки;0.24;0.12;0.30;0.08;0.06;4608.86;0.00;0;1;1;12.56;1;0;0;0
Савёловский;0.44;0.03;2.07;0.31;0.17;22087.41;2.70;0;0;0;1.57;1;0;0;0
Свиблово;0.43;0.16;0.52;0.26;0.11;13813.83;2.00;0.5;1;1;15.22;1;1;0;0
Северное Бутово;0.36;0.86;0.70;0.18;1.23;10559.36;3.00;0.5;1;1;14.52;1;0;1;0
Северное Измайлово;0.40;0.05;0.47;0.08;0.17;20253.10;0.00;0;0;1;2.36;1;0;0;0
Северное Медведково;0.48;0.18;0.65;0.22;0.11;22924.03;14.80;0;1;1;5.52;1;0;0;1
Северное Тушино;0.25;0.04;0.25;0.11;0.08;18222.55;2.10;0.5;1;1;27.9;1;0;1;0
Северный;0.36;0.02;0.47;0.23;0.08;5277.45;2.50;0.5;1;1;10.55;1;0;1;1
Силино;0.32;0.12;0.17;0.08;0.06;3927.69;0.00;1;1;1;7.68;1;1;1;0
Сокол;0.29;0.04;0.37;0.10;0.19;15909.95;2.60;0.5;0;1;6.63;1;0;0;1
Соколиная Гора;0.46;0.18;0.53;0.26;0.23;11862.12;6.80;1;0;1;1.39;1;0;0;1
Сокольники;0.19;0.02;0.23;0.08;0.07;5814.11;12.10;0;1;0;84.93;1;1;0;1
Солнцево;0.56;0.04;0.70;0.59;0.18;11128.88;20.00;1;1;1;3.57;1;1;1;1
Старое Крюково;0.23;0.09;0.17;0.07;0.05;8346.72;0.00;0.5;1;0;23.93;1;0;1;0
Строгино;0.27;0.12;0.31;0.12;0.10;9675.30;0.00;0;1;1;18.67;0;1;0;1
Таганский;0.39;0.03;0.37;0.14;0.09;16936.20;4.70;0.5;1;1;4.74;1;0;0;0
Тверской;0.45;0.07;0.37;0.08;0.19;10507.15;6.80;0;1;1;12.77;1;0;0;0
Текстильщики;0.43;0.20;0.53;0.11;0.29;17244.59;2.00;0.5;0;1;2.79;1;0;0;0
Тёплый Стан;0.41;0.20;0.60;0.37;0.12;17751.33;0.00;0.5;1;1;73.01;1;0;0;1
Тимирязевский;0.22;0.01;0.25;0.09;0.07;7942.86;7.30;0;1;1;59.47;1;0;0;0
Тропарёво-Никулино;0.36;0.06;0.50;0.09;0.16;11352.26;4.30;0.5;1;1;26.43;1;1;0;0
Филёвский Парк;0.16;0.05;0.25;0.09;0.12;11611.54;4.60;0.5;1;0;15.77;1;0;0;1
Фили-Давыдково;0.20;0.04;0.33;0.13;0.06;16328.02;4.60;0.5;1;1;7.06;1;0;0;0
Хамовники;0.42;0.02;1.02;0.16;0.09;10427.88;9.50;0.5;1;1;6.43;1;0;0;0
Ховрино;0.33;0.03;0.47;0.09;0.06;16105.93;1.60;0;0;1;10.3;1;0;1;0
Хорошёво-Мнёвники;0.41;0.09;0.72;0.14;0.13;10502.39;4.10;1;1;1;21.84;0;0;0;1
Хорошёвский;0.50;0.18;0.67;0.16;0.18;7636.84;5.10;0.5;0;1;6.46;1;0;0;1
Царицыно;0.30;0.02;0.40;0.08;0.08;14700.12;1.60;0;1;0;3.3;1;0;0;1
Черёмушки;0.42;0.17;0.55;0.21;0.10;19438.95;2.80;0;0;1;7.15;1;0;0;1
Чертаново Северное;0.38;0.14;0.47;0.19;0.08;20576.85;0.00;0;1;1;5.17;1;0;0;1
Чертаново Центральное;0.38;0.16;0.43;0.11;0.11;17367.33;0.00;0.5;1;1;4.57;1;0;0;1
Чертаново Южное;0.36;0.86;0.70;0.18;1.23;16967.16;0.00;0.5;1;1;14.89;1;0;0;1
Щукино;0.36;0.17;0.48;0.17;0.13;14106.76;0.00;0.5;1;1;14.31;1;0;0;1
Южное Бутово;0.36;0.86;0.70;0.18;1.23;8017.97;1.50;1;1;1;12.69;1;0;1;1
Южное Медведково;0.29;0.04;0.55;0.10;0.08;22177.32;0.00;0.5;1;0;1.27;1;0;0;0
Южное Тушино;0.23;0.03;0.23;0.09;0.09;13994.46;2.40;1;1;1;26;1;0;0;0
Южнопортовый;0.44;0.02;0.48;0.18;0.10;15899.78;20.40;0.5;1;1;1.18;1;0;0;1
Якиманка;0.42;0.02;1.02;0.16;0.09;5906.04;4.60;0.5;1;1;29.87;1;0;0;0
Ярославский;0.39;0.09;0.68;0.30;0.11;12537.80;0.00;0;0;1;7.91;1;0;0;1
Ясенево;0.21;0.04;0.37;0.06;0.11;6951.44;2.00;0;1;1;9.92;0;1;1;1
